product_id,model,sku,upc,ean,jan,isbn,mpn,location,quantity,stock_status_id,image,manufacturer_id,shipping,price,points,tax_class_id,date_available,weight,weight_class_id,length,width,height,length_class_id,subtract,minimum,sort_order,status,viewed,date_added,date_modified,import_batch,manufacturer,price_special,stock_status,seo_keyword,link,store,name_ru,description_ru,tag_ru,meta_title_ru,meta_description_ru,meta_keyword_ru,reward_group_1,additional_images,product_filter,product_attribute,product_category,product_discount,product_special,special_price_for_group_1,special_price_for_group_1_start,special_price_for_group_1_end,related_product_id,related_product_name,product_option
1992690,Giant,1992690,,,,,,"Джаинт Ко., Лтд. Но.889 Хонгху Роад, Куншан Экономик Текнолоджи Девелопмент Зоун, Джиангсу, Китай",5,5,http://velomancms.weba.by/image/catalog/bike/e601cb08e2b37814df5270f2df820aee.jpeg,11,1,2525.0000,0,0,2009-02-04,0.00000000,1,0.00000000,0.00000000,0.00000000,1,0,1,0,1,190,"2021-07-05 09:54:45","2021-08-26 04:38:21",,Giant,2500.0000,"In Stock",velosiped-giant-talon-1-29-m-2021-chernyj,http://velomancms.weba.by/velosiped-giant-talon-1-29-m-2021-chernyj,Veloman.by,"Велосипед Giant Talon 1 29 M 2021 (черный) (Красный ТЕСТ)","горный, кросс-кантри, материал рамы: алюминий, колеса 29"", вилка амортизационная с ходом 100 мм, трансмиссия 10 скор., тормоза дисковый гидравлический + дисковый гидравлический","Велосипед,Giant,Talon 1,29,M,2021,(черный)","Велосипед Giant Talon 1 29 M 2021 (черный)",,,,http://velomancms.weba.by/image/catalog/bike/56a498ddefdfe51ae1aed722aecbae3e.jpeg,,Характеристики:Рост:M,"Велосипеды|Велосипеды>Горные велосипеды|Велосипеды>Горные велосипеды>Велосипеды 29""",,1:0:2500.0000:0000-00-00:0000-00-00,2500.0000,0000-00-00,0000-00-00,1992691|1992692,"Велосипед Giant Talon 1 29 L 2021 (черный)|Велосипед Giant Talon 1 29 XL 2021 (черный)",radio:Цвет:Черный:+0.0000:0:0:+0.00000000:0:|radio:Цвет:Красный:+0.0000:0:0:+0.00000000:0:|radio:Рост:L:+0.0000:0:0:+0.00000000:0:|radio:Рост:M:+0.0000:0:0:+0.00000000:0:|radio:Рост:XL:+0.0000:0:0:+0.00000000:0:
1992691,Giant,1992691,,,,,,"Джаинт Ко., Лтд. Но.889 Хонгху Роад, Куншан Экономик Текнолоджи Девелопмент Зоун, Джиангсу, Китай",100,5,http://velomancms.weba.by/image/catalog/bike/e601cb08e2b37814df5270f2df820aee.jpeg,11,1,2525.0000,0,0,2009-02-04,0.00000000,1,0.00000000,0.00000000,0.00000000,1,0,1,0,1,60,"2021-07-05 09:54:45","2021-08-26 04:38:06",,Giant,,"In Stock",velosiped-giant-talon-1-29-l-2021-chernyj,http://velomancms.weba.by/velosiped-giant-talon-1-29-l-2021-chernyj,Veloman.by,"Велосипед Giant Talon 1 29 L 2021 (черный)","горный, кросс-кантри, материал рамы: алюминий, колеса 29"", вилка амортизационная с ходом 100 мм, трансмиссия 10 скор., тормоза дисковый гидравлический + дисковый гидравлический","Велосипед,Giant,Talon 1,29,L,2021,(черный)","Велосипед Giant Talon 1 29 L 2021 (черный)",,,,http://velomancms.weba.by/image/catalog/bike/56a498ddefdfe51ae1aed722aecbae3e.jpeg,,Характеристики:Рост:L,"Велосипеды|Велосипеды>Горные велосипеды|Велосипеды>Горные велосипеды>Велосипеды 29""",,,,,,1992690|1992692,"Велосипед Giant Talon 1 29 M 2021 (черный) (Красный ТЕСТ)|Велосипед Giant Talon 1 29 XL 2021 (черный)",radio:Цвет:Черный:+0.0000:0:0:+0.00000000:0:|radio:Рост:L:+0.0000:0:0:+0.00000000:0:
1992692,Giant,1992692,,,,,,"Джаинт Ко., Лтд. Но.889 Хонгху Роад, Куншан Экономик Текнолоджи Девелопмент Зоун, Джиангсу, Китай",100,5,http://velomancms.weba.by/image/catalog/bike/e601cb08e2b37814df5270f2df820aee.jpeg,11,1,2525.0000,0,0,2009-02-04,0.00000000,1,0.00000000,0.00000000,0.00000000,1,0,1,0,1,34,"2021-07-05 09:54:45","2021-08-26 04:38:14",,Giant,,"In Stock",velosiped-giant-talon-1-29-xl-2021-chernyj,http://velomancms.weba.by/velosiped-giant-talon-1-29-xl-2021-chernyj,Veloman.by,"Велосипед Giant Talon 1 29 XL 2021 (черный)","горный, кросс-кантри, материал рамы: алюминий, колеса 29"", вилка амортизационная с ходом 100 мм, трансмиссия 10 скор., тормоза дисковый гидравлический + дисковый гидравлический","Велосипед,Giant,Talon 1,29,XL,2021,(черный)","Велосипед Giant Talon 1 29 XL 2021 (черный)",,,,http://velomancms.weba.by/image/catalog/bike/56a498ddefdfe51ae1aed722aecbae3e.jpeg,,Характеристики:Рост:XL,"Велосипеды|Велосипеды>Горные велосипеды|Велосипеды>Горные велосипеды>Велосипеды 29""",,,,,,1992690|1992691,"Велосипед Giant Talon 1 29 M 2021 (черный) (Красный ТЕСТ)|Велосипед Giant Talon 1 29 L 2021 (черный)",radio:Цвет:Черный:+0.0000:0:0:+0.00000000:0:|radio:Рост:XL:+0.0000:0:0:+0.00000000:0:
